open_ts,symbol,open,high,low,close,delta,total_vol
2026-05-03T21:04:20+00:00,NQU1.CME@RITHMIC,15431.25,15432.50,15431.25,15432.50,2,62
2026-05-03T21:04:25+00:00,NQU1.CME@RITHMIC,15423.50,15432.25,15423.50,15432.00,1,37
2026-05-03T21:04:30+00:00,NQU1.CME@RITHMIC,15439.25,15439.25,15432.00,15432.25,4,32
2026-05-03T21:04:35+00:00,NQU1.CME@RITHMIC,15429.50,15434.25,15429.50,15434.00,-43,103
2026-05-03T21:04:40+00:00,NQU1.CME@RITHMIC,15434.00,15434.50,15433.25,15433.25,-5,83
2026-05-03T21:04:45+00:00,NQU1.CME@RITHMIC,15433.00,15433.25,15432.00,15432.25,-3,53
2026-05-03T21:04:50+00:00,NQU1.CME@RITHMIC,15434.00,15434.00,15432.00,15432.00,16,48
2026-05-03T21:04:55+00:00,NQU1.CME@RITHMIC,15432.00,15432.75,15432.00,15432.50,-2,38
2026-05-03T21:05:00+00:00,NQU1.CME@RITHMIC,15432.50,15432.75,15432.50,15432.75,-3,15
2026-05-03T21:05:05+00:00,NQU1.CME@RITHMIC,15432.25,15432.75,15432.25,15432.75,5,15
2026-05-03T21:05:10+00:00,NQU1.CME@RITHMIC,15432.75,15433.00,15432.50,15432.50,-11,61
2026-05-03T21:05:15+00:00,NQU1.CME@RITHMIC,15432.00,15432.75,15432.00,15432.00,9,23
2026-05-03T21:05:20+00:00,NQU1.CME@RITHMIC,15431.75,15431.75,15431.25,15431.50,6,26
2026-05-03T21:05:25+00:00,NQU1.CME@RITHMIC,15431.50,15431.50,15431.00,15431.50,-1,43
2026-05-03T21:05:30+00:00,NQU1.CME@RITHMIC,15431.75,15431.75,15431.50,15431.50,2,2
2026-05-03T21:05:35+00:00,NQU1.CME@RITHMIC,15431.75,15432.25,15431.25,15432.00,12,78
2026-05-03T21:05:40+00:00,NQU1.CME@RITHMIC,15432.25,15432.25,15431.50,15431.50,3,23
